station,count,station_location_latitude,station_location_longitude
burjuman,34066,25.254855,55.304252
burjuman,34066,25.254855,55.304252
al rigga,27856,25.263261,55.324122
union,26045,25.266335,55.313902
sharaf dg,22989,,
mall of the emirates,21928,25.121231,55.200443
business bay,21336,25.191274,55.260418
adcb,20699,25.244493,55.298195
burj khalifa/dubai mall,20643,25.2014,55.269518
city centre deira,20151,,
baniyas square,18374,25.269415,55.307602
dubai internet city,18333,25.102095,55.173781
dmcc,17403,25.070824,55.138672
centrepoint,17384,,
onpassive,16837,,
salah al din,16261,25.270345,55.320668
stadium,15266,25.277802,55.361579
al ghubaiba,14683,25.265085,55.288953
abu baker al siddique,14628,25.270903,55.332983
emirates towers,14236,25.217214,55.27982
sobha realty,13354,,
