station,count,station_location_latitude,station_location_longitude
burjuman,29396,25.254855,55.304252
burjuman,29396,25.254855,55.304252
union,24956,25.266335,55.313902
al rigga,22576,25.263261,55.324122
city centre deira,19002,,
sharaf dg,18653,,
mall of the emirates,18648,25.121231,55.200443
burj khalifa/dubai mall,18273,25.2014,55.269518
adcb,18021,25.244493,55.298195
business bay,17962,25.191274,55.260418
onpassive,17180,,
dubai internet city,15598,25.102095,55.173781
centrepoint,15291,,
baniyas square,14871,25.269415,55.307602
salah al din,14022,25.270345,55.320668
stadium,13872,25.277802,55.361579
al ghubaiba,13286,25.265085,55.288953
dmcc,12687,25.070824,55.138672
sobha realty,12587,,
abu baker al siddique,12094,25.270903,55.332983
emirates towers,11743,25.217214,55.27982
